annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;;;;;;;;;
2016156;MERCREDI;28/12/2016;27/02/2017;34;35;16;39;15;4;15-16-34-35-39+4;0;0;1;231560,5;252;1977,6;12763;16,9;226814;6,8;411202;2;8998530;eur;;;;;;;;;
2016155;LUNDI   ;26/12/2016;25/02/2017;3;16;27;29;37;6;3-16-27-29-37+6;1;11000000;2;102526,4;402;1097,7;18449;10,3;268521;5;391050;2;5444491;eur;;;;;;;;;
2016154;SAMEDI  ;24/12/2016;23/02/2017;22;48;7;20;35;1;7-20-22-35-48+1;0;0;0;0;976;1802;47053;11;716962;5,1;880021;2;5815410;eur;;;;;;;;;
2016153;MERCREDI;21/12/2016;20/02/2017;25;42;17;39;22;6;17-22-25-39-42+6;0;0;1;228653,2;491;1002,2;20038;10,6;284316;5,3;438487;2;2118680;eur;;;;;;;;;
2016152;LUNDI   ;19/12/2016;18/02/2017;17;40;41;26;3;7;3-17-26-40-41+7;0;0;0;0;248;2197,6;13222;12,1;209390;5,5;509838;2;9424060;eur;;;;;;;;;
2016151;SAMEDI  ;17/12/2016;16/02/2017;13;5;16;32;2;5;2-5-13-16-32+5;0;0;1;306545,2;716;921,4;32187;8,8;443303;4,6;639453;2;5954931;eur;;;;;;;;;
2016150;MERCREDI;14/12/2016;13/02/2017;10;9;44;14;46;7;9-10-14-44-46+7;1;3000000;2;112787;412;1178,3;19577;10,7;300500;5;674105;2;5402070;eur;;;;;;;;;
2016149;LUNDI   ;12/12/2016;11/02/2017;12;14;11;6;36;6;6-11-12-14-36+6;0;0;0;0;386;1411;20388;7,9;269573;4,2;332739;2;7764727;eur;;;;;;;;;
2016148;SAMEDI  ;10/12/2016;09/02/2017;41;43;27;24;28;9;24-27-28-41-43+9;1;5000000;1;320873,8;480;1438,7;24366;12,2;384738;5,5;573218;2;7271910;eur;;;;;;;;;
2016147;MERCREDI;07/12/2016;06/02/2017;5;44;7;2;45;3;2-5-7-44-45+3;0;0;1;230807,2;450;1103,8;23525;9,1;333584;4,6;438796;2;3198160;eur;;;;;;;;;
2016146;LUNDI   ;05/12/2016;04/02/2017;29;30;23;6;26;4;6-23-26-29-30+4;0;0;4;44448,2;471;812,4;19288;8,5;250215;4,7;320161;2;4530666;eur;;;;;;;;;
2016145;SAMEDI  ;03/12/2016;02/02/2017;11;13;38;4;44;7;4-11-13-38-44+7;0;0;2;152096,8;736;889,5;32061;8,8;438633;4,6;880209;2;2979446;eur;;;;;;;;;
2016144;MERCREDI;30/11/2016;30/01/2017;9;33;31;3;40;5;3-9-31-33-40+5;1;3000000;0;0;385;1797,1;18294;11,1;273069;5,3;466783;2;5747528;eur;;;;;;;;;
2016143;LUNDI   ;28/11/2016;28/01/2017;41;45;20;10;38;6;10-20-38-41-45+6;0;0;0;0;288;1779,2;12664;11,9;187022;5,7;309998;2;698953;eur;;;;;;;;;
2016142;SAMEDI  ;26/11/2016;26/01/2017;9;21;44;6;11;7;6-9-11-21-44+7;1;2000000;1;291166,8;1031;607,7;39357;6,9;466063;4,1;842080;2;6385152;eur;;;;;;;;;
2016141;MERCREDI;23/11/2016;23/01/2017;47;7;25;2;12;7;2-7-12-25-47+7;1;9000000;3;77661,1;1030;486,8;33072;6,5;373141;4,1;673284;2;9217619;eur;;;;;;;;;
2016140;LUNDI   ;21/11/2016;21/01/2017;7;18;12;45;3;8;3-7-12-18-45+8;0;0;1;181410,8;676;577,5;24944;6,7;295781;4;324876;2;3221541;eur;;;;;;;;;
2016139;SAMEDI  ;19/11/2016;19/01/2017;34;48;41;46;36;7;34-36-41-46-48+7;0;0;3;103736,2;508;1318,4;18844;15,4;286403;7,2;880084;2;7365600;eur;;;;;;;;;
2016138;MERCREDI;16/11/2016;16/01/2017;37;48;1;26;24;7;1-24-26-37-48+7;0;0;0;0;325;2193,7;16804;12,5;265699;5,6;666567;2;2795515;eur;;;;;;;;;
